G_7-6_1,"[99.33110367892976, 63.21070234113712]"
G_7-6_1,"[66.22073578595317, 45.15050167224081]"
G_7-6_1,"[102.34113712374582, 42.14046822742475]"
G_7-6_2,"[105.35117056856187, 42.14046822742475]"
G_7-6_2,"[81.27090301003345, 84.2809364548495]"
G_7-6_2,"[54.180602006688964, 54.180602006688964]"
G_7-6_3,"[102.34113712374582, 45.15050167224081]"
G_7-6_3,"[45.15050167224081, 42.14046822742475]"
G_7-6_3,"[69.23076923076924, 69.23076923076924]"
G_7-6_4,"[105.35117056856187, 81.27090301003345]"
G_7-6_4,"[54.180602006688964, 45.15050167224081]"
G_7-6_4,"[45.15050167224081, 45.15050167224081]"
G_7-6_5,"[48.16053511705686, 102.34113712374582]"
G_7-6_5,"[45.15050167224081, 51.17056856187291]"
G_7-6_5,"[105.35117056856187, 48.16053511705686]"
L_7-6_1,"[48.16053511705686, 51.17056856187291]"
L_7-6_1,"[54.180602006688964, 63.21070234113712]"
L_7-6_1,"[63.21070234113712, 66.22073578595317]"
L_7-6_2,"[42.14046822742475, 69.23076923076924]"
L_7-6_2,"[66.22073578595317, 66.22073578595317]"
L_7-6_2,"[54.180602006688964, 51.17056856187291]"
L_7-6_3,"[90.30100334448161, 60.20066889632107]"
L_7-6_3,"[66.22073578595317, 66.22073578595317]"
L_7-6_3,"[87.29096989966555, 60.20066889632107]"
L_7-6_4,"[66.22073578595317, 48.16053511705686]"
L_7-6_4,"[66.22073578595317, 66.22073578595317]"
L_7-6_4,"[72.24080267558529, 78.26086956521739]"
L_7-6_5,"[69.23076923076924, 45.15050167224081]"
L_7-6_5,"[72.24080267558529, 72.24080267558529]"
L_7-6_5,"[69.23076923076924, 48.16053511705686]"
S_7-6_1,"[48.16053511705686, 51.17056856187291]"
S_7-6_1,"[63.21070234113712, 63.21070234113712]"
S_7-6_1,"[90.30100334448161, 48.16053511705686]"
S_7-6_2,"[108.36120401337793, 48.16053511705686]"
S_7-6_2,"[57.19063545150502, 48.16053511705686]"
S_7-6_2,"[45.15050167224081, 45.15050167224081]"
S_7-6_3,"[51.17056856187291, 48.16053511705686]"
S_7-6_3,"[120.40133779264214, 87.29096989966555]"
S_7-6_3,"[102.34113712374582, 42.14046822742475]"
S_7-6_4,"[108.36120401337793, 42.14046822742475]"
S_7-6_4,"[81.27090301003345, 81.27090301003345]"
S_7-6_4,"[117.3913043478261, 141.4715719063545]"
S_7-6_5,"[57.19063545150502, 57.19063545150502]"
S_7-6_5,"[102.34113712374582, 45.15050167224081]"
S_7-6_5,"[48.16053511705686, 48.16053511705686]"
